selection_topic,ID,EventDate,Employer,Primary NAICS,Hospitalized,Amputation,Loss of Eye,NatureTitle,Part of Body Title,EventTitle,SourceTitle,Final Narrative,text,human_sif_label,human_action,human_object,human_control_deficiency,human_iogp_rule
electrical,2015042044,4/16/2015,KOHLER COMPANY,333618,1.0,0.0,0.0,Fractures,Forearm(s),"Caught in running equipment or machinery during maintenance, cleaning ",Milling machines,"An electrical maintenance technician was trouble shooting an electrical fault on a horizontal machine center (HMC).  The maintenance tech turned the HMC off; however, he did not lockout the HMC.  The maintenance tech went to the back of the HMC and removed a panel to work on the machine and clear the electrical fault.  The maintenance tech cleared the fault.  The setup technician noticed that the fault was cleared from the HMC control panel; and the setup tech pushed the home button to bring the carriage to the starting position.  The maintenance tech was still working on the HMC at the back of machine.  When the setup tech pushed the home button the carriage moved back to the starting position and pinned the maintenance tech's right arm between the carriage and the HMC frame.  The maintenance tech's right arm was broken in two different locations below the elbow.","An electrical maintenance technician was trouble shooting an electrical fault on a horizontal machine center (HMC). The maintenance tech turned the HMC off; however, he did not lockout the HMC. The maintenance tech went to the back of the HMC and removed a panel to work on the machine and clear the electrical fault. The maintenance tech cleared the fault. The setup technician noticed that the fault was cleared from the HMC control panel; and the setup tech pushed the home button to bring the carriage to the starting position. The maintenance tech was still working on the HMC at the back of machine. When the setup tech pushed the home button the carriage moved back to the starting position and pinned the maintenance tech's right arm between the carriage and the HMC frame. The maintenance tech's right arm was broken in two different locations below the elbow.",1.0,maintenance_repair,machinery,no_isolation,Energy Isolation
electrical,20171211568,12/6/2017,Comar LLC,325211,1.0,0.0,0.0,Fractures,Multiple foot (feet) locations,Struck by object falling from vehicle or machinery-other than vehicle part,"Dies, molds, patterns","An employee was using an overhead hoist to move an injection blow mold from a work bench to a pallet. The mold halves were being held together with a C-clamp. As the mold was being moved, it became entangled in the electrical cord for the hoist. The injured employee freed the mold from the electrical cord. The C-clamp then contacted the hoist beam supporting the leg and loosened, allowing the bottom half of the mold to fall. The mold struck the injured employee's left foot, lacerating it, fracturing the second metatarsal, and chipping the big toe bone. The employee was hospitalized.","An employee was using an overhead hoist to move an injection blow mold from a work bench to a pallet. The mold halves were being held together with a C-clamp. As the mold was being moved, it became entangled in the electrical cord for the hoist. The injured employee freed the mold from the electrical cord. The C-clamp then contacted the hoist beam supporting the leg and loosened, allowing the bottom half of the mold to fall. The mold struck the injured employee's left foot, lacerating it, fracturing the second metatarsal, and chipping the big toe bone. The employee was hospitalized.",1.0,lifting,machinery,none,Safe Mechanical Lifting
electrical,2020077027,7/28/2020,Federal Aviation Administration,481219,0.0,1.0,0.0,"Amputations, avulsions, enucleations, n.e.c.","Finger(s), fingernail(s), n.e.c.",Struck against moving part of machinery or equipment,"Fans, blowers-wall, floor, ceiling, ventilation","An employee was investigating a noise in an HVAC duct-system. He located a suspect auxiliary blower unit, deenergized it, and then went to retrieve tools. He returned to the blower after approximately 10 minutes. The fan/belt/pulley were slowly rotating even though power had been isolated. The employee removed a cover so he could press a tool against the belt to bring the blower to a stop. While reaching for the tool, his hand slipped into the pulley/belt resulting in an amputation to the right index finger from the base of the nail to the end of the finger. Also, the top third of the right middle finger was degloved.","An employee was investigating a noise in an HVAC duct-system. He located a suspect auxiliary blower unit, deenergized it, and then went to retrieve tools. He returned to the blower after approximately 10 minutes. The fan/belt/pulley were slowly rotating even though power had been isolated. The employee removed a cover so he could press a tool against the belt to bring the blower to a stop. While reaching for the tool, his hand slipped into the pulley/belt resulting in an amputation to the right index finger from the base of the nail to the end of the finger. Also, the top third of the right middle finger was degloved.",1.0,maintenance_repair,rotating_equipment,unknown_stored_energy,Line of Fire
electrical,20231211318,12/12/2023,Lott Brothers Construction Company LTD,236116,1.0,0.0,0.0,"Electrical burns, unspecified",Upper and lower limb(s),"Indirect exposure to electricity, greater than 220 volts","Wire, cables-nonelectrical","A crew was working near an electrical pole. A co-worker was using a front-loader to grade a slope when the loader slid into a guy-wire and became tangled and stuck. The injured employee used a handheld grinder to cut the wire a few feet from the ground. The lower part of the wire fell to the ground, but the upper part of the wire fell toward the pole and contacted an energized part before the end landed in nearby bushes. The employee attempted to shake the bush to free the wire so it could fall back toward the pole. The wire popped up and contacted his hands, resulting in electrical entry burns to both hands and exit burns on both feet.","A crew was working near an electrical pole. A co-worker was using a front-loader to grade a slope when the loader slid into a guy-wire and became tangled and stuck. The injured employee used a handheld grinder to cut the wire a few feet from the ground. The lower part of the wire fell to the ground, but the upper part of the wire fell toward the pole and contacted an energized part before the end landed in nearby bushes. The employee attempted to shake the bush to free the wire so it could fall back toward the pole. The wire popped up and contacted his hands, resulting in electrical entry burns to both hands and exit burns on both feet.",1.0,electrical_work,electrical_cable,none,Energy Isolation
electrical,20251111634,11/24/2025,Transel Elevator & Electric Inc.,561790,1.0,0.0,0.0, Fractures and soft tissue injuries, Hand(s) and wrist(s)," Struck by running powered equipment  during maintenance, cleaning, testing", Elevators,Two employees were working together to install electrical conduit to a new fixture panel inside an elevator car. The injured employee was working in the elevator pit beneath the elevator car. He stood on two pieces of angle iron that secured the elevator buffer in the pit while preparing to pass a powered knockout tool up to the second employee inside the elevator car. His right hand was on the guide rail in the adjacent elevator hoist way when the adjacent elevator car descended and crushed his hand and wrist between the roller guide and the guide rail. His right wrist was dislocated and several bones in his hand were fractured.,Two employees were working together to install electrical conduit to a new fixture panel inside an elevator car. The injured employee was working in the elevator pit beneath the elevator car. He stood on two pieces of angle iron that secured the elevator buffer in the pit while preparing to pass a powered knockout tool up to the second employee inside the elevator car. His right hand was on the guide rail in the adjacent elevator hoist way when the adjacent elevator car descended and crushed his hand and wrist between the roller guide and the guide rail. His right wrist was dislocated and several bones in his hand were fractured.,1.0,construction_installation,machinery,none,Line of Fire
working_at_height,2015085922,8/19/2015,Cedar Fair LP,713110,1.0,0.0,0.0,Fractures,"Chest, except internal location of diseases or disorders","Caught in running equipment or machinery during maintenance, cleaning ",Nonrail amusement rides,"A maintenance employee was performing daily inspections on the Dominator Ride. He attached a fall protection device to the carriage of the ride and rode the carriage to the top, then stepped off of the carriage and onto an inspection catwalk. He contacted personnel on the ground to lower the carriage so he could inspect the ride cables. He did not disconnect his harness and lanyard and was pulled off the catwalk by the harness and lanyard as the carriage was lowered. He was left suspended in the air from the lanyard and harness, suffering seven broken ribs, as well as neck and shoulder edema and contusions.","A maintenance employee was performing daily inspections on the Dominator Ride. He attached a fall protection device to the carriage of the ride and rode the carriage to the top, then stepped off of the carriage and onto an inspection catwalk. He contacted personnel on the ground to lower the carriage so he could inspect the ride cables. He did not disconnect his harness and lanyard and was pulled off the catwalk by the harness and lanyard as the carriage was lowered. He was left suspended in the air from the lanyard and harness, suffering seven broken ribs, as well as neck and shoulder edema and contusions.",1.0,inspection_testing,machinery,none,Work at Height
working_at_height,2017109771,10/11/2017,"Monroe Truck Equipment, Inc.",336211,1.0,0.0,0.0,Fractures,"Multiple body parts, n.e.c.",Struck by object falling from vehicle or machinery-other than vehicle part,"Vehicle and mobile equipment parts, n.e.c.","An employee was supervising as two coworkers removed a plow from an overhead conveyor line. The plow was suspended from the conveyor by two j-hooks and two s-hooks. The coworkers were using a forklift to lower the plow to the ground. As the plow was being raised by the forklift, one of the coworkers guided it so that the mouth of the plow rested on the tines. The tines on the lift were wet due to rainy weather conditions, causing the plow to slide toward the end of the tines and fall off the forklift onto the ground. During its descent, the plow struck the employee on the right side of his body and sent him backwards into a hook rack, fracturing his ribs, shoulder blade, and T-12 vertebra.","An employee was supervising as two coworkers removed a plow from an overhead conveyor line. The plow was suspended from the conveyor by two j-hooks and two s-hooks. The coworkers were using a forklift to lower the plow to the ground. As the plow was being raised by the forklift, one of the coworkers guided it so that the mouth of the plow rested on the tines. The tines on the lift were wet due to rainy weather conditions, causing the plow to slide toward the end of the tines and fall off the forklift onto the ground. During its descent, the plow struck the employee on the right side of his body and sent him backwards into a hook rack, fracturing his ribs, shoulder blade, and T-12 vertebra.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
working_at_height,2020076436,7/10/2020,"Sundown Operating, Inc.",213112,2.0,0.0,0.0,Fractures,Hip(s),Struck by object falling from vehicle or machinery-other than vehicle part,"Machine and appliance parts, n.e.c.","Employees of Sundown Operating, Inc., and Axis Energy Services, LLC were working at an old oil/gas well plugging the well and getting ready to rig down. The Axis Energy Services employee was working from the platform operating the snubbing equipment. The casing from the well bore connected to the primary BOP broke causing the secondary BOP and the platform where the employee was working to fall to the ground approximately 28 feet below. The Axis Energy Services employee was hospitalized for a fractured leg. The Sundown Operating employee was assisting with the snubbing operation and was struck on the leg by the falling lug nut to the hydraulic BOP. The Sundown Operating employee was hospitalized for a fractured hip.","Employees of Sundown Operating, Inc., and Axis Energy Services, LLC were working at an old oil/gas well plugging the well and getting ready to rig down. The Axis Energy Services employee was working from the platform operating the snubbing equipment. The casing from the well bore connected to the primary BOP broke causing the secondary BOP and the platform where the employee was working to fall to the ground approximately 28 feet below. The Axis Energy Services employee was hospitalized for a fractured leg. The Sundown Operating employee was assisting with the snubbing operation and was struck on the leg by the falling lug nut to the hydraulic BOP. The Sundown Operating employee was hospitalized for a fractured hip.",1.0,drilling_wellwork,well_casing,barrier_failed,Line of Fire
working_at_height,2023021291,2/9/2023,O'Brien Steel Service Co.,423510,1.0,0.0,0.0,Fractures,"Foot (feet), unspecified",Struck by object falling from vehicle or machinery-other than vehicle part,"Containers-nonpressurized, n.e.c.","On February 9, 2023, an employee was using an overhead crane to remove a bundle of    cold finish rounds (steel bars) from a vertical storage pan to place the bundle on a work table for packaging and shipment. The storage pan was on the forks of a forklift parked near the work table. The end of the bundle was raised approximately 3 feet above the pan when the chain slipped off allowing the bundle to fall back into the pan. This caused the pan and bundle to fall off the forklift. The edge of the pan scraped down his shin and landed on his left foot. The employee was hospitalized with a broken foot.","On February 9, 2023, an employee was using an overhead crane to remove a bundle of cold finish rounds (steel bars) from a vertical storage pan to place the bundle on a work table for packaging and shipment. The storage pan was on the forks of a forklift parked near the work table. The end of the bundle was raised approximately 3 feet above the pan when the chain slipped off allowing the bundle to fall back into the pan. This caused the pan and bundle to fall off the forklift. The edge of the pan scraped down his shin and landed on his left foot. The employee was hospitalized with a broken foot.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
working_at_height,2025066060,6/24/2025,"White Cap Holding (SC), LLC",444190,0.0,1.0,0.0, Amputations involving bone loss, Other finger(s)  n.e.c., Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area," Forklift, order picker, platform truck powered","An employee was loading a pallet of water onto the back of his truck when the wire grate sideboard fell off. After exiting his forklift to pick up the fallen sideboard, he stood next to the truck, awaiting the loading of the second pallet. The operator of the second forklift positioned the pallet on the flatbed and began to reverse out. As the forks exited the pallet, they caught the mesh sideboard grate that the employee had gathered and placed next to it, causing the mesh sideboard grate to pull back and catch the employee's fingers inside it. The employee suffered lacerations, including to the left little finger, and required amputation of the little finger down to the knuckle of the hand.","An employee was loading a pallet of water onto the back of his truck when the wire grate sideboard fell off. After exiting his forklift to pick up the fallen sideboard, he stood next to the truck, awaiting the loading of the second pallet. The operator of the second forklift positioned the pallet on the flatbed and began to reverse out. As the forks exited the pallet, they caught the mesh sideboard grate that the employee had gathered and placed next to it, causing the mesh sideboard grate to pull back and catch the employee's fingers inside it. The employee suffered lacerations, including to the left little finger, and required amputation of the little finger down to the knuckle of the hand.",0.0,material_handling,vehicle,none,Safe Mechanical Lifting
