summary_nr,_source,text,weak_action,weak_action_conf,weak_object,weak_object_conf,weak_controls,weak_sif_score,weak_sif_class,weak_energies
20161211788,January2015toNovember2025.csv,"an employee was rigging a load that was on a forklift when the forks lowered and struck his left foot, fracturing it. struck by swinging part of powered vehicle fractures foot (feet), unspecified forklift, order picker, platform truck-powered ",driving,0.8,crane_lifting_equipment,0.8,,0.5,UNCERTAIN,
2019077159,January2015toNovember2025.csv,"an employee was assisting in lifting a 55-gallon drum with a crane and a chain. the chain slipped on the drum and the employee sustained a left ring fingertip amputation. compressed or pinched by shifting objects or equipment amputations fingertip(s) chains, n.e.c. ",lifting,0.8,crane_lifting_equipment,0.8,,0.85,SIF_POTENTIAL,
2021064692,January2015toNovember2025.csv,"an employee was using a pallet jack to load a trailer. the jack ran over a piece of broken pallet and the handle of the pallet jack struck the employee in the leg. the employee was hospitalized, suffering from internal bleeding. nonroadway collision with object other than vehicle, n.e.c. soreness, pain, hurt-nonspecified injury leg(s), unspecified pallet jack-powered scrap, waste, debris, n.e.c.",driving,0.8,vehicle,0.8,,0.85,SIF_POTENTIAL,
2015118965,January2015toNovember2025.csv,"an employee was operating a saw and contacted the saw blade resulting in a fingertip amputation. struck against moving part of machinery or equipment amputations fingertip(s) sawing machinery-stationary, unspecified ",manual_tools,0.8,vehicle,0.8,,0.85,SIF_POTENTIAL,
2016076344,January2015toNovember2025.csv,"an employee was working on an air cylinder when it activated and crushed his left index finger resulting in amputation. caught in running equipment or machinery during maintenance, cleaning  amputations finger(s), fingernail(s), n.e.c. machinery, n.e.c. ",maintenance_repair,0.8,tank,0.8,,0.85,SIF_POTENTIAL,
20191213281,January2015toNovember2025.csv,"on 12/30/2019, an employee was working inside an aerial lift to install metal siding onto the exterior of a new construction addition when the employee received an electrical shock from a 7,500-volt electrical transmission line. the employee suffered second and third degree burns. direct exposure to electricity, greater than 220 volts third or fourth degree electrical burns nonclassifiable power lines, transformers, convertors ",working_at_height,0.8,,0.0,,0.85,SIF_POTENTIAL,
2023054142,January2015toNovember2025.csv,"two employees were completing a post-job inspection of a centrifuge. one employee rotated the centrifuge rotating assembly to test if it could be turned by hand. the injured employee went to stop the rotating assembly when their left little finger was caught between the belt and pulley system. the employee sustained an open, non-displaced distal phalanx fracture and a fingertip amputation to the left little finger. compressed or pinched by shifting objects or equipment amputations fingertip(s) centrifuges ",inspection_testing,0.8,machinery,0.8,,0.85,SIF_POTENTIAL,
2020010271,January2015toNovember2025.csv,"an employee opened the grinder for inspection and cleaning. he stepped up on some angles on the front of the grinder, held onto the machinery with one hand, and rotated the grinder blade with the other hand. as he was manually rotating the blades in reverse, his left middle fingertip was amputated. compressed or pinched by shifting objects or equipment amputations fingertip(s) grinders, abraders ",cleaning,0.8,hand_tool,0.8,,0.85,SIF_POTENTIAL,
2020076336,January2015toNovember2025.csv,"after pulling cable in a ceiling and shoveling dirt onto the back of a truck, an employee developed a hernia. he was hospitalized, requiring surgery. multiple types of overexertion involving outside sources hernias due to traumatic incidents abdomen, except internal location of diseases or disorders wire, cables-nonelectrical shovels",driving,0.8,vehicle,0.8,,0.85,SIF_POTENTIAL,
2020065617,January2015toNovember2025.csv,"an employee was standing in the basement at the project site when a mini-skid steer struck the employee from behind in the back of the leg. the employee sustained a broken ankle. pedestrian struck by vehicle in nonroadway area, unspecified fractures ankle(s) skid steer loaders, mini loaders ",driving,0.8,vehicle,0.8,,0.5,UNCERTAIN,
2015031365,January2015toNovember2025.csv,"an employee was painting a building exterior on the job site. he was working around a granite panel when a safety pin came loose, causing the panel to fall on him. struck by falling object or equipment, n.e.c. traumatic injuries and disorders, unspecified nonclassifiable stone, marble, granite slabs ",construction_installation,0.8,vehicle,0.8,,0.5,UNCERTAIN,
2025065452,January2015toNovember2025.csv,"an employee was towing away a vehicle for reposession. when the vehicle was on a lift, he was held at gunpoint and then shot. he was hospitalized.  shooting by other person  gunshot wounds   part of body  unspecified  person, other than injured or ill worker  unspecified  firearms, air-powered guns  unspecified",driving,0.8,vehicle,0.8,,0.85,SIF_POTENTIAL,
2024087821,January2015toNovember2025.csv,"an employee was spray painting and fell approximately 12 feet from an extension ladder to the concrete landing below, resulting in a broken tibia and fibula in their left leg and a soft tissue injury in their right leg.  other fall to lower level  6 to 30 feet  fractures     lower leg(s)  extension ladders  other constructed surface",working_at_height,0.8,ladder,0.8,,0.5,UNCERTAIN,
20201211393,January2015toNovember2025.csv,"an employee was operating a rough-terrain forklift when it turned over on the boom side. the employee suffered a partially collapsed lung, a broken scapula, and broken ribs. jack-knifed or overturned, nonroadway internal injuries to organs and blood vessels of the trunk chest, except internal location of diseases or disorders forklift, order picker, platform truck-powered ",driving,0.8,vehicle,0.8,,0.5,UNCERTAIN,
